id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
PA0119,Painters,Paul Hartal,B,Transcendence,Transcendental reality (independent of artist),"…the world as a mysterious place, full of magic and wonder.",19,270,298
PA0120,Painters,Natalie Dekel,B,Transcendence,"Transcendental reality (independent, and communicated through physical)","I am trying to convey the soul and the emotion behind it; a soul which is contained in a bottle, a body.",46,270,299
PA0121,Painters,Paul Hartal,B,Transcendence,"Transcendental reality (independent, and communicated through physical)","…intuitions, imagination, emotions, ideas, memories, thoughts and dreams are not independent events of an autonomous brain and nervous… They take place in a body that interacts with the biosphere.",8,270,300
PA0122,Painters,Felice Varini,B,Transcendence,"Transcendental reality (independent, and communicated through physical)","[use of simple shapes:] A mountain side has curves that affect the circle, and change the circle’s geometry… The same goes for colours… reality exists with its own qualities, shapes, colours and light conditions.",18-20,270,301
PA0123,Painters,Natalie Dekel,B,Transcendence,"Transcendental reality (independent, and communicated through physical)",The way you wear your body shows who you are.,50,270,302
PA0124,Painters,Paul Hartal,B,Transcendence,"Transcendental reality (independent, and communicated through physical)",I envisage the existence of a universal field of consciousness which permeates the cosmos. Our own consciousness originates from this spectrum.,10,270,303
PA0125,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (which connects through artist),I had a feeling that I am here on Earth by a mistake…,20,271,304
PA0126,Painters,Paul Hartal,B,Transcendence,Transcendental reality (which connects through artist),… we can gain deeper insights about the true nature of the universe through our senses than through our intellect.,14,271,305
PA0127,Painters,Felice Varini,B,Transcendence,Transcendental reality (which connects through artist),"Once the painting is done it starts an independent life, having a relationship with the space, which has nothing to do with me or the viewer.",7,271,306
PA0128,Painters,Barry Stevens,B,Transcendence,Transcendental reality (which connects through artist),… recognition that a greater or higher power is working through one and that one does not actually exist independent of the whole… there is no longer an “I” or “you”…,6,271,307
PA0129,Painters,Melanie Chan,B,Transcendence,Transcendental reality (which connects through artist),"Once I start painting my mind starts to become calmer, as if the flower is encouraging me to be in the moment.",2,271,308
PA0130,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (which connects through artist),It is right behind you. This information ‘bombards’ me and I want to depict it.,25,271,309
PA0131,Painters,Felice Varini,B,Transcendence,Transcendental reality (which connects through artist),"I do not believe in inspiration… Instead, I explore the space… look through … make decisions, and then it all clicks right into place. It is like writing… it happens.",47,271,310
PA0132,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (which connects through artist),Sometimes you let go and let your hand choose for you. You don’t think.,37,271,311
PA0133,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (which connects through artist),"I am trying to convey the soul and the emotion behind it; a soul which is contained in a bottle, a body.",46,271,312
PA0134,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (which the artist connects to),I just look … I have a feeling about it. I see them.,27,271,313
PA0135,Painters,Paul Hartal,B,Transcendence,Transcendental reality (which the artist connects to),Poetry extends beyond language.,26,271,314
PA0136,Painters,Barry Stevens,B,Transcendence,Transcendental reality (which the artist connects to),…the experience of having gone as far as one can go. Then one encounters infinity …which is consciousness or awareness unqualified by a perceiver. I call this Oneness.,52,271,315
PA0137,Painters,Melanie Chan,B,Transcendence,Transcendental reality (which the artist connects to),"I see the beauty of nature in flowers, and I am amazed by their perfection and their symmetry.",2,271,316
PA0138,Painters,Melanie Chan,B,Transcendence,Transcendental reality (which the artist connects to),I prefer to be quiet when painting; it is in the silence… that the communion with the flowers can take place.,14,271,317
PA0139,Painters,Melanie Chan,B,Transcendence,Transcendental reality (which the artist connects to),"Painting… is … being open to … inspiration, and allowing it to flow through me and gain expression.",26,271,318
PA0140,Painters,Melanie Chan,B,Transcendence,Transcendental reality (which the artist connects to),…paying attention and spending time looking at the flower… brings me to a state of relaxed awareness… entering into a sort of communion or shared experience with the creative impulse that forms each living thing…,28,271,319
PA0141,Painters,Paul Hartal,C,Faculties,Unconscious,Another major source of creativity originates in the irrational realm of dreams and the unconscious.,4,271,320
PA0142,Painters,Paul Hartal,C,Faculties,Unconscious,"Meaningful archetypal dreams surface through the personal unconscious, from the deepest layers of the psyche, what Jung calls the collective unconscious…",9,271,321
PA0143,Painters,Paul Hartal,C,Faculties,Unconscious,"…nuclear physicist Amit Goswami has advanced his credo that the universe is an unconscious entity, which becomes aware of itself through human consciousness.",13,271,322
PA0144,Painters,Natalie Dekel,B,Creative State,Urge to create,It’s a compulsive urge…,15,271,323
PA0145,Painters,Paul Hartal,B,Creative State,Urge to create,"Art is an impulsive thrust, a spontaneous wave of excitation.",30,271,324
PA0146,Painters,Felice Varini,B,Creative State,Urge to create,I discovered the world of painting … and … my desire to paint. It was a strong feeling; I would ‘burn’ in the middle of a painting.,46,271,325
PA0147,Painters,Melanie Chan,B,Creative State,Urge to create,"I tend to get a feeling that draws me… impulse to create, is inner one based on a mood or memory. At other times it might be external… a scene which might draw my attention.",17,271,326
PA0148,Painters,Natalie Dekel,B,Creative State,Urge to create,… past experiences that I feel compelled to express and show.,25,271,327
PA0149,Painters,Melanie Chan,B,Creative State,Urge to create,…necessary … to pay attention to nature and it is then that I get ... urge to express that relationship.,19,271,328
PA0150,Painters,Natalie Dekel,B,Creative State,Urge to create,It is right behind you. This information ‘bombards’ me and I want to depict it.,25,272,329
PA0151,Painters,Paul Hartal,A,Language & Representation,Word,Poetry extends beyond language.,26,272,330
PA0152,Painters,Melanie Chan,A,Language & Representation,Word,…words conceptualise and divide the world into binary categories of subject and object.,26,272,331
PA0153,Painters,Paul Hartal,A,Language & Representation,Word,"Poetry… is a verbal composition, an emotional or mental event moving through linear time.",32,272,332
PA0154,Painters,Melanie Chan,A,Language & Representation,Word,Artistic expression … exceed the conceptual boundaries of language…,26,272,333
PA0155,Painters,Paul Hartal,A,Language & Representation,Word,"…science does not discover how real is real. Instead, it discovers what it can say about nature in human language (which includes mathematics).",43,272,334
